Crop,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
   Dried,13.4,9.9,8.6,10,11.2,9.6,12,11.7,12.7,12.8,11.5,12.1,14.9,13.2,12.1,12.2,10.7,12.5,12.7,12.7,11.1,10.6,12.1,10.1,10.4,9.8,10.4,9.8,9.3,10,10.5,9.8,9.8,8.9,9.2,9.5,9.1,9.9,9.3,10.1,9.7,9.4,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tree nuts, all 12",1.9,1.7,1.7,1.8,1.8,2,2.2,2.3,2.4,2.5,2.3,2.2,2.4,2.3,2.4,2.2,2.3,2.4,2.1,2.1,2.1,2.2,2.3,2.8,2.6,2.9,3.3,3.5,3.5,2.7,3.3,3.6,3.6,3.7,3.9,3.8,4.2,4,4.1,4.1,4.8,5,5.1
  Almonds,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.5,0.6,0.6,0.6,0.7,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.6,1,0.8,0.8,1.1,1.1,0.9,0.6,1,1.2,1.4,1.4,1.6,1.8,2,1.9,1.7,1.8,2.1,2.3,2.3
  Pecans,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.5,0.5,0.4,0.4,0.5,0.4,0.5,0.5,0.5,0.5,0.4,0.5,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.5,0.5,0.4,0.4,0.4,0.5,0.43,0.44,0.47,0.53
  Walnuts,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.4,0.3,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.4,0.4,0.5,0.5,0.4,0.39,0.57,0.5,0.54
  Others 13,0.7,0.4,0.6,0.5,0.5,0.5,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.8,0.7,0.9,0.9,0.8,0.7,0.7,0.8,0.8,0.9,0.9,1.1,1.2,1.4,1.6,1.2,1.3,1.5,1.2,1.3,1.3,1.2,1.3,1.3,1.5,1.44,1.69,1.76,1.78
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total, all items*",284.3,297.3,290.5,281,298.3,291,298.4,308.4,298.7,303.8,310,313.9,303.7,308.1,288.2,293,297.9,309.5,308.3,300.3,312.8,321.5,321,317.1,320.7,310.8,310.1,311.3,311.5,308,302.1,296.1,290.6,292.5,293.2,291.5,286.9,298.2,289.7,290.3,296.8,294.4,281.2
  Citrus ,131,144.1,127.5,116.3,123.6,128.1,117.4,136.3,113.4,116.4,119.4,120.9,108.3,111.8,96.2,106,98.6,114,113.1,108.1,117.4,116.9,124.7,110.7,116.9,114.6,107.9,107.8,106.8,100.1,93.3,85.4,82.7,85.1,82.4,86.8,76.2,79.2,76,75.6,76,73.4,73
  Noncitrus & nuts,134.6,133.9,142.9,145.5,156.8,143.5,158.7,152.3,161.1,163.1,165.6,168.3,171.3,169.5,167.2,163.4,173.8,170.7,169.5,165.9,166.2,175.8,168.3,176.7,176,167.6,174.3,176.4,179.3,182.3,181.9,184.2,181.3,181.3,184.4,180,187.2,194,190.9,190.7,194.3,195.3,183
  Melons,18.8,19.3,20.1,19.2,18,19.4,22.3,19.8,24.1,24.3,24.9,24.7,24,26.9,24.8,23.6,25.6,24.9,25.6,26.4,29.3,28.8,28,29.7,27.8,28.7,27.9,27.1,25.4,25.6,26.9,26.4,26.7,26.1,26.5,24.7,23.5,25,22.8,24,26.5,25.6,25.2
